Year,Continent,Percentual Oil Consumption,AVG Oil Consumption per Person
2004,North America,30.872698194021968,2.3913333333333333
2005,North America,30.603685423142853,2.3676666666666666
2006,North America,29.878861937715982,2.31
2007,North America,29.545710915032835,2.3196666666666665
2008,North America,28.089751010501434,2.211333333333333
2009,North America,27.207662685769595,2.071333333333333
2010,North America,26.91732329677716,2.1276666666666664
2011,North America,26.241895729376413,2.1223333333333336
2012,North America,25.402535705735183,2.0573333333333337
2013,North America,25.41314141146807,2.04
2014,North America,25.32790755326601,2.031333333333333
2015,North America,25.219154120704125,1.9990000000000003
2016,North America,24.8965206597987,2.0036666666666663
2017,North America,24.745504942723283,1.9853333333333332
2018,North America,24.958691447994923,2.0123333333333338
2019,North America,24.54902391213091,1.965666666666667
1965,South America,4.594979945544268,0.661125
1966,South America,4.534768248712986,0.672
1967,South America,4.344952823721107,0.6821250000000002
1968,South America,4.327822016909786,0.7034999999999999
1969,South America,4.145754562538965,0.7128749999999998
1970,South America,3.9218846119875486,0.7140000000000001
1971,South America,3.9665640969284035,0.7326250000000001
1972,South America,4.0065213741962316,0.9262499999999998
1973,South America,4.090403414450503,0.937625
1974,South America,4.426799076699932,0.930125
1975,South America,4.492552103169047,0.800125
1976,South America,4.431333715536562,0.8434999999999998
1977,South America,4.4719229632214335,0.8483750000000001
1978,South America,4.57256539707978,0.811125
1979,South America,4.725361034880948,0.7454999999999999
1980,South America,5.032386461504908,0.7126250000000001
1981,South America,5.172225534510968,0.7042499999999999
1982,South America,5.345042207542078,0.701625
1983,South America,5.203910553704792,0.6459999999999999
1984,South America,4.970356555245083,0.595125
1985,South America,4.243605831875314,0.5992500000000001
1986,South America,4.465690903367958,0.629375
1987,South America,4.474602659004369,0.5685
1988,South America,4.443616680248615,0.56975
1989,South America,4.302980615008583,0.5435
1990,South America,4.220411530498058,0.5798749999999999
1991,South America,4.258302984913076,0.569875
1992,South America,4.577451663119878,0.6558750000000001
1993,South America,4.6562805087293215,0.62025
1994,South America,4.815185719060682,0.606125
1995,South America,4.905375174415665,0.6228750000000001
1996,South America,4.895514123369472,0.6338750000000001
1997,South America,5.050235629315876,0.593125
1998,South America,5.223527423825089,0.615625
1999,South America,5.1325561838742235,0.6765000000000001
2000,South America,5.01759210386788,0.655
2001,South America,5.067393224686767,0.64425
2002,South America,4.983075460769259,0.66025
2003,South America,4.690078723856952,0.6212500000000002
2004,South America,4.726775789730935,0.6577500000000001
2005,South America,4.8670129515892135,0.654125
2006,South America,5.013039157020597,0.693875
2007,South America,5.201245490909743,0.746625
2008,South America,5.566877927535738,0.789625
2009,South America,5.633840176326211,0.7683749999999998
2010,South America,5.800463415327009,0.7838750000000001
2011,South America,6.02848635898066,0.79
2012,South America,6.148202977734425,0.7918750000000001
2013,South America,6.33220043965278,0.8184999999999999
2014,South America,6.314104113669817,0.7808750000000001
2015,South America,5.942691323822332,0.774875
2016,South America,5.5809555871158825,0.7603749999999999
2017,South America,5.420070154782055,0.7140000000000001
2018,South America,5.1813194802319735,0.691125
2019,South America,5.103327826110398,0.6641250000000002
1965,Oceania,1.3646862990549968,1.185
1966,Oceania,1.491686068880397,1.34
1967,Oceania,1.5192653744075728,1.415
1968,Oceania,1.5088334425281684,1.475
1969,Oceania,1.4285265768735675,1.49
1970,Oceania,1.4658644183880758,1.66
1971,Oceania,1.4620112565054597,1.7
1972,Oceania,1.3922239820160425,1.74
1973,Oceania,1.3781317812078322,1.82
1974,Oceania,1.4822864803175118,1.825
1975,Oceania,1.4912739957313177,1.765
1976,Oceania,1.4284671913274614,1.79
1977,Oceania,1.4401587001578278,1.82
1978,Oceania,1.3997165830494562,1.775
1979,Oceania,1.406816612825056,1.785
1980,Oceania,1.426317856979106,1.7
1981,Oceania,1.4428676409417376,1.61
1982,Oceania,1.504306804701871,1.595
1983,Oceania,1.4851467183428777,1.535
1984,Oceania,1.5085352030521917,1.57
1985,Oceania,1.2206757739279894,1.4700000000000002
1986,Oceania,1.1967527017102086,1.4240000000000002
1987,Oceania,1.2198908752162534,1.525
1988,Oceania,1.2247986767466192,1.525
1989,Oceania,1.2452892578887351,1.55
1990,Oceania,1.2603365428289004,1.605
1991,Oceania,1.2319766687485336,1.57
1992,Oceania,1.2152876857115618,1.565
1993,Oceania,1.2821979319903063,1.595
1994,Oceania,1.3161616118878945,1.705
1995,Oceania,1.3553944796898534,1.775
1996,Oceania,1.3431201666236685,1.78
1997,Oceania,1.3416244041663492,1.82
1998,Oceania,1.3364932449847828,1.81
1999,Oceania,1.351812822213898,1.835
2000,Oceania,1.3362373510211525,1.825
2001,Oceania,1.3334622731317554,1.815
2002,Oceania,1.3276452156013587,1.815
2003,Oceania,1.3085181628416496,1.845
2004,Oceania,1.2912113945803478,1.845
2005,Oceania,1.273441943781783,1.835
2006,Oceania,1.3509146372020815,1.895
2007,Oceania,1.3217465488696565,1.86
2008,Oceania,1.3376071909762586,1.845
2009,Oceania,1.354442596584163,1.775
2010,Oceania,1.302987115381626,1.745
2011,Oceania,1.3674384414379392,1.805
2012,Oceania,1.3910103408367391,1.8
2013,Oceania,1.398848168704142,1.805
2014,Oceania,1.4069345336980237,1.805
2015,Oceania,1.345510247414133,1.78
2016,Oceania,1.3334500112422305,1.78
2017,Oceania,1.3790565898888807,1.845
2018,Oceania,1.3991625900237572,1.855
2019,Oceania,1.3787313360984983,1.83
